Termo;Produto;Preço;Valor_Num;Tipo_Medida;Preço_Proporcional;Mercado;Data
leite;Leite Condensado MOÇA Zero Lactose Caixinha 395g;R$ 10,90;10.9;Preço por Kg;27.59;Angeloni;18/02/2026
leite;Creme de Leite NESTLÉ Zero Lactose 200G;R$ 6,79;6.79;Preço por Kg;33.95;Angeloni;18/02/2026
leite;Leite Condensado MOÇA Semidesnatado 395g;R$ 6,99;6.99;Preço por Kg;17.7;Angeloni;18/02/2026 (Encarte)
leite;Leite Semidesnatado TIROL Zero Lactose 1L;R$ 3,99;3.99;Preço por Litro;3.99;Angeloni;18/02/2026
leite;Leite Tirol Semidesnatado Com Tampa 1l;R$ 3,29;3.29;Preço por Litro;3.29;Angeloni;18/02/2026 (Encarte)
leite;Leite Integral TIROL 0% Lactose 1l;R$ 3,99;3.99;Preço por Litro;3.99;Angeloni;18/02/2026
leite;Leite PIRACANJUBA Integral 1l;R$ 3,79;3.79;Preço por Litro;3.79;Angeloni;18/02/2026
leite;Leite Parmalat Integral 1l;R$ 3,65;3.65;Preço por Litro;3.65;Angeloni;18/02/2026
leite;Leite Uht Nestlé Ninho Integral 1l;R$ 5,69;5.69;Preço por Litro;5.69;Angeloni;18/02/2026
leite;Leite Naturalle Integral Naturalle 1l;R$ 5,49;5.49;Preço por Litro;5.49;Angeloni;18/02/2026
leite;Leite PIRACANJUBA Semidesnatado Zero Lactose 1L;R$ 4,39;4.39;Preço por Litro;4.39;Angeloni;18/02/2026
leite;Leite Piracanjuba Semi Desnatado 1l;R$ 3,79;3.79;Preço por Litro;3.79;Angeloni;18/02/2026
ovo;Ovo IANA Grande com 30 Unidades;R$ 13,90;13.9;Preço por Unidade;0.46;Angeloni;18/02/2026
ovo;Ovo MARUTANI Grande Vermelho Selenio Omega 3 10 Unidades;R$ 6,99;6.99;Preço por Unidade;0.7;Angeloni;18/02/2026
ovo;Ovo MARUTANI Grande Vermelho 10 Unidades;R$ 6,99;6.99;Preço por Unidade;0.7;Angeloni;18/02/2026
ovo;Ovo MARUTANI Grande Vermelho Selenio 10 Unidades;R$ 6,99;6.99;Preço por Unidade;0.7;Angeloni;18/02/2026
ovo;Ovo Caipira RAIAR Grande Orgânico com 20 unidades;R$ 30,50;30.5;Preço por Unidade;1.52;Angeloni;18/02/2026
ovo;Ovo Caipira Vermelho Orgânico Grande FAZENDA DA TOCA 10un;R$ 18,90;18.9;Preço por Unidade;1.89;Angeloni;18/02/2026
ovo;Ovo branco MARUTANI Grande com 12 unidades;R$ 11,59;11.59;Preço por Unidade;0.97;Angeloni;18/02/2026
carne;Escondidinho de Carne Moída SEARA Na Panelinha 300g;R$ 22,89;22.89;Preço por Kg;76.3;Angeloni;18/02/2026
carne;Bolinho de carne suína com barbecue SEARA Netflix 270g;R$ 19,99;19.99;Preço por Kg;74.04;Angeloni;18/02/2026
carne;Carne Moída Bovino TOP QUALITY Patinho ATM Resfriado 500g;R$ 35,01;35.01;Preço por Kg;70.02;Angeloni;18/02/2026
